slug,model,maker,country,category,availability,price_usd_min,price_usd_max,as_of,release_year,height_cm,weight_kg,dof,battery_hours,payload_kg,reach_mm,speed_ms,repeatability_mm,power_w,ip_rating,sdk,price_note
unitree-g1,Unitree G1,Unitree Robotics,China,humanoid,for-sale,13500,73900,2026-09,2024,132,35,23,2,2,,2,,,,"unitree_sdk2 (Python/C++), ROS 2 — EDU versions only; base G1 not programmable","Official base configuration (23 DoF) at $13,500 in Unitree's store; EDU configurations through US resellers run $43,900–73,900 across 12 variants."
unitree-r1,Unitree R1,Unitree Robotics,China,humanoid,for-sale,4150,5900,2026-09,2025,121,25,26,1,,,,,,,"No SDK on R1/R1 AIR (not programmable); R1 EDU adds unitree_sdk2 (Python/C++, ROS 2)","Unitree cut the R1's China-market starting price from 39,900 to 29,900 CNY (~$4,150) in June 2026, with immediate in-stock delivery. Global retail via AliExpress still runs $4,900 (R1 AIR) to $5,900 (R1); US-fulfilled listings are priced higher. Still the cheapest full humanoid on open sale; SDK-enabled EDU versions cost more."
unitree-h1,Unitree H1 / H1-2,Unitree Robotics,China,humanoid,for-sale,90000,148235,2026-09,2023,180,47,19,,7,,3.3,,,,"unitree_sdk2 (Python/C++), ROS 2 via unitree_ros2","H1 listed at $90,000 in Unitree's store (""contact us for real price""); resellers quote $100k–129k. H1-2 with hands sold for $148,235 and was delisted in 2026 as the H2 ($29,900) replaces the line."
engineai-pm01,EngineAI PM01,EngineAI Robotics,China,humanoid,for-sale,20000,26000,2026-09,2024,138,40,24,2,,,2,,,,"Open platform: ROS support, open training code (Isaac Sim, MuJoCo, ONNX)","The original launch promo ended March 2025. Current distributor catalog pricing runs roughly $20,000–$26,000 for the business and education versions, with final cost varying by model, edition and configuration."
booster-t1,Booster T1,Booster Robotics,China,humanoid,for-sale,22000,50925,2026-09,2024,118,30,23,2,3,,5,,,,"Fully open-source SDK, ROS 2, Isaac Sim / Webots / MuJoCo simulation support","Base price ~$22,000 in China; US resellers run $29,800 (Basic) to ~$50,925 (Standard with grippers), EU from €39,000 incl. tax. Open-source developer platform, RoboCup 2025 champion."
booster-t2,Booster T2,Booster Robotics,China,humanoid,preorder,26200,31500,2026-09,2026,140,43,31,2,10,,,,,,Booster Studio IDE (manufacturer's own embodied-AI development environment),"No public price on the manufacturer's own site (quote-only). An authorized EU distributor lists the base Professional configuration from EUR 22,500 excl. VAT (~$26,200) to EUR 27,060 incl. VAT (~$31,500), shipping from September 2026. Higher-spec P2/P3 configurations with grippers or a dexterous hand are not separately priced."
1x-neo,1X NEO,1X Technologies,Norway,humanoid,preorder,20000,,2026-09,2025,165,30,,4,25,,1.4,,,,"Closed consumer platform; app-controlled with teleoperation-assisted learning, no public SDK","Official pre-order: $20,000 Early Access ($200 deposit, US-only 2026 delivery) or a $499/month subscription with later delivery. Learns household tasks partly via teleoperation; international expansion from 2027."
fourier-gr-3,Fourier GR-3,Fourier Intelligence,China,humanoid,for-sale,27500,120000,2026-09,2025,165,71,55,3,3,,,,,,SDK and technical docs for approved research partners only,"Channel pricing diverges: institutional/distributor pricing starts above ¥200,000 (~$27,500) with final pricing on request, while other catalog listings and documented estimates for the GR-3 Care-Bot run as high as $120,000 depending on configuration. Care robot for homes and assisted-living/rehab facilities, in production since its CES 2026 debut."
agibot-a2,Agibot A2,Agibot (Zhiyuan Robotics),China,humanoid,for-sale,44560,190000,2026-09,2024,169,69,40,2,15,,1.9,,,,SDK + APIs; open-source AimRT middleware framework,"A2 Lite at $44,560 in Agibot's own store (verified July 2026); the full bipedal A2 runs $100k–190k depending on configuration. 10,000 robots produced by March 2026."
galbot-g1,Galbot G1,Galbot,China,humanoid,for-sale,87000,96000,2026-09,2024,173,85,47,10,5,,,,,,,"Wheeled humanoid. The 630,000 CNY (~$87k) model sold out on JD.com after the 2026 Spring Festival Gala; pharmacy deployments run ~700,000 CNY (~$96k). Price varies heavily with configuration and service."
pndbotics-adam,PNDbotics Adam,PNDbotics,China,humanoid,for-sale,100000,120000,2026-09,2023,167,62,41,,5,,1.7,,,,Open-source SDK with low-level access; NVIDIA Isaac Gym training support,"Distributor catalog pricing: Adam SP at $100,000, Adam Lite at $120,000 (inquiry-based); final pricing on request. Modular quasi-direct-drive actuators up to 360 N·m, open-source SDK."
ubtech-walker-s2,UBTech Walker S2,UBTech Robotics,China,humanoid,enterprise-only,68000,180000,2026-09,2025,176,73,52,,15,,2,,,,"Closed, enterprise deployments only (BrainNet / Co-Agent stack)","No public list price — enterprise sales only. Documented estimates and reseller quotes vary widely: $68k–$160k per unit at small volumes (early adopters ~$90k), with one distributor listing direct purchase around $180,000 or a $5,000/month subscription alternative. Mass production underway with an order book over 800M CNY; swaps its own battery in 3 minutes."
agility-digit,Agility Robotics Digit,Agility Robotics,USA,humanoid,enterprise-only,100000,250000,2026-09,2019,175,65,,,16,,1.5,,,,Closed platform; Agility Arc cloud orchestration + enterprise APIs,"No sticker price — Digit is sold through robots-as-a-service contracts bundling hardware, Arc cloud software, workcell and support; the June 2026 investor deck models ~$8,500/month (~$100k/year) against a ~$30/hour labor benchmark. The widely cited ~$250,000 reflects Digit's real early purchase price and estimates in current pilot programs, marking the realistic upper bound for outright acquisition."
fourier-gr-2,Fourier GR-2,Fourier Intelligence,China,humanoid,enterprise-only,125000,,2026-09,2024,175,63,53,,3,,1.4,,,,SDK with ROS compatibility; developer platform actively maintained,"Estimated between $125,000 and $150,000+ — not officially published, enterprise sales only, no North American channel. Full-size 175 cm research and service platform with 12-DoF hands."
kepler-k2,Kepler K2 Forerunner,Kepler Exploration Robotics,China,humanoid,enterprise-only,20000,30000,2026-09,2024,178,85,52,8,15,,1.1,,,,,"Kepler's stated target retail range of $20k–30k; no open price list, sales are corporate. Fifth-generation Forerunner with a 2.33 kWh battery rated for ~8 hours."
figure-03,Figure 03,Figure AI,USA,humanoid,enterprise-only,,,2026-09,2025,168,60,,5,20,,1.2,,,,"Closed — Helix VLA stack, no public SDK; internal and partner deployments only","No public price. The widely quoted $20,000 is a stated consumer target, not an offer: there is no pre-order or retail channel, and all units go to internal programs and partner deployments (BMW Spartanburg). Enterprise pricing is negotiated."
tesla-optimus,Tesla Optimus,Tesla,USA,humanoid,not-for-sale,,,2026-09,2021,173,57,,,20,,2.2,,,,"Closed, internal Tesla use only; no SDK or developer access","Tesla has never published a price for Optimus and has no order, reservation, waitlist or lease channel: as of 2026 tesla.com carries no Optimus product page. The widely quoted $20,000-$30,000 is a long-term target at volume stated by Tesla's CEO, not a price. Any site taking Optimus pre-orders or deposits is not affiliated with Tesla."
boston-dynamics-atlas,Boston Dynamics Atlas,Boston Dynamics (Hyundai),USA,humanoid,not-for-sale,,,2026-09,2024,,,,,30,,2.5,,,IP67,"Closed; partner deployments only (Hyundai, Google DeepMind), no public SDK","Not publicly sold, no MSRP — analyst estimates run ~$130k–320k. The production electric Atlas debuted at CES 2026 and the entire 2026 output is contracted (Hyundai Metaplant, Google DeepMind); Hyundai targets 30,000 units/year by 2028."
unitree-go2,Unitree Go2,Unitree Robotics,China,quadruped,for-sale,1600,19430,2026-09,2023,40,15,12,2,8,,5,,,,"unitree_sdk2 (C++/Python), ROS 2 support","Official retail by version: Air $1,600, Pro $2,800, Go2 X $4,500; EDU Standard $11,190, EDU Plus $13,205, top EDU configurations up to $19,430. Unitree cut prices across the line in 2026 ahead of its IPO."
xiaomi-cyberdog-2,Xiaomi CyberDog 2,Xiaomi,China,quadruped,for-sale,1800,3000,2026-09,2023,37,8.9,12,1.5,1,,1.6,,,,"Open-source SDK, ROS 2, graphical programming","Launched at 12,999 CNY (~$1,800) in Xiaomi's Chinese retail, still sold there with no successor; international resellers charge ~$3,000."
deep-robotics-lite3,Deep Robotics Lite3,Deep Robotics (Jueying),China,quadruped,for-sale,2890,18900,2026-09,2023,40,12,12,1.5,5,,4,,,,ROS 1 / ROS 2 SDK and motion APIs,"Dealer range by configuration: from $2,890 minimum listing / Basic RC $5,400, Venture $9,500, Pro $12,999, LiDAR version $18,900. Research platform."
deep-robotics-x30,Deep Robotics X30,Deep Robotics (Jueying),China,quadruped,for-sale,65000,74800,2026-09,2023,,56,12,4,20,,4,,,IP67,"Open SDK for secondary development, ROS support","Dealer guide prices: ~$65,000 for the X30, ~$74,800 for the X30 Pro; some dealers quote on request only. Industrial IP67 quadruped for autonomous inspection."
unitree-b2,Unitree B2,Unitree Robotics,China,quadruped,for-sale,76900,296355,2026-09,2023,65,60,12,5,40,,6,,,IP67,"unitree_sdk2 (C++/Python), ROS 2 support","Officially quote-only (Unitree's own store shows a $100,000 placeholder, final price by quote). US resellers now list the base industrial configuration at $76,900-$84,999, with a LiDAR-equipped version near $94,999; fully configured units (LiDAR, extra sensors, autonomy software) have been listed by specialty resellers as high as ~$296,000."
boston-dynamics-spot,Boston Dynamics Spot,Boston Dynamics (Hyundai),USA,quadruped,enterprise-only,75000,375000,2026-09,2020,61,32.7,12,1.5,14,,1.6,,,IP54,"Spot SDK (Python), gRPC API","The historical ~$74,500 Explorer Kit is no longer published — since 2026 sales are quota-based; real configurations in public procurement records run $150k–375k (Spot Arm, LiDAR and autonomy software add $25k+). Over 1,500 units deployed."
dobot-cr5,Dobot CR5 / CR5A,Dobot Robotics,China,industrial-arm,for-sale,10000,24320,2026-09,2021,,25,6,,5,900,,0.02,150,IP54,"TCP/IP SDK (Python, C++, ROS), DobotStudio Pro","Channel pricing diverges: some resellers quote the CR5 at $10k–20k, while a major US reseller lists the CR5 from $22,980 and the updated CR5A from $24,320. RaaS subscription available. 5 kg payload cobot."
jaka-zu7,JAKA Zu 7,JAKA Robotics,China,industrial-arm,for-sale,12000,18000,2026-09,,,22,6,,7,819,,0.02,350,IP54,"JAKA App graphical programming, TCP/IP SDK, ROS adapter",Estimated $12k–18k — JAKA positions itself 30–40% below Universal Robots at comparable specs. Indian dealer listings at ₹14.5–19.5 lakh (~$17.5k–23.4k) mark the upper bound with local markups. 7 kg payload cobot.
fanuc-lr-mate-200id,FANUC LR Mate 200iD,FANUC,Japan,industrial-arm,for-sale,17500,25000,2026-09,2013,,25,6,,7,717,,0.01,500,IP67,"R-30iB controller, KAREL, ROBOGUIDE","Guide price for arm + controller (FANUC sells via quotes, no public list): $17,500–20,000 typical, the /4S variant from ~$25,000. A fully deployed cell runs $45k–65k."
kuka-kr6-agilus,KUKA KR 6 R900 Agilus,KUKA,Germany,industrial-arm,for-sale,25000,35000,2026-09,2012,,52,6,,6,901,,0.02,,IP54,"KRL (KUKA Robot Language), ROS-Industrial support","Guide price for base hardware (KUKA sells via quotes): the KR AGILUS line starts around $25k; integration, tooling and software add $10k–50k."
ur5e,Universal Robots UR5e,Universal Robots,Denmark,industrial-arm,for-sale,32000,48000,2026-09,2018,,20.6,6,,5,850,,0.03,200,IP54,"PolyScope, URCap ecosystem, URScript","Distributor guide (UR publishes no list price): arm + controller $32k–38k, typical 2026 US quotes $35k–48k. Universal Robots' 2026 e-Series refresh introduced the UR7e (7.5 kg payload, same 850 mm reach, ~$38,400) as UR5e's successor — distributors are steering new orders to the UR7e while UR5e stock remains available new. A full cell with gripper and integration runs ~$60k."
estun-er6,Estun ER6,Estun Automation,China,industrial-arm,not-for-sale,,,2026-09,,,,6,,6,1450,,0.08,,,,"Legacy stock rather than a current product: the ER6 no longer appears anywhere in Estun's own ER-series catalog, whose small-payload slots are now filled by the ER3, ER4, ER7, ER8 and ER10 families. The ER6-1600 survives on distributor and marketplace listings and in an archived 2020 catalog, so any price quoted for it today is for remaining stock through third parties, not a factory offer. Estun publishes no list price for this model."
